county,month,year,republicanfatalities
Antrim,1,1919,0
Antrim,2,1919,0
Antrim,3,1919,0
Antrim,4,1919,0
Antrim,5,1919,0
Antrim,6,1919,0
Antrim,7,1919,0
Antrim,8,1919,0
Antrim,9,1919,0
Antrim,10,1919,0
Antrim,11,1919,0
Antrim,12,1919,0
Antrim,1,1920,1
Antrim,2,1920,0
Antrim,3,1920,0
Antrim,4,1920,0
Antrim,5,1920,0
Antrim,6,1920,1
Antrim,7,1920,0
Antrim,8,1920,1
Antrim,9,1920,1
Antrim,10,1920,0
Antrim,11,1920,0
Antrim,12,1920,0
Antrim,1,1921,1
Antrim,2,1921,0
Antrim,3,1921,0
Antrim,4,1921,0
Antrim,5,1921,0
Antrim,6,1921,0
Antrim,7,1921,0
Antrim,8,1921,0
Antrim,9,1921,0
Antrim,10,1921,0
Antrim,11,1921,1
Antrim,12,1921,0
Armagh,1,1919,0
Armagh,2,1919,0
Armagh,3,1919,0
Armagh,4,1919,0
Armagh,5,1919,0
Armagh,6,1919,0
Armagh,7,1919,0
Armagh,8,1919,0
Armagh,9,1919,0
Armagh,10,1919,0
Armagh,11,1919,0
Armagh,12,1919,0
Armagh,1,1920,0
Armagh,2,1920,0
Armagh,3,1920,0
Armagh,4,1920,0
Armagh,5,1920,0
Armagh,6,1920,1
Armagh,7,1920,0
Armagh,8,1920,1
Armagh,9,1920,0
Armagh,10,1920,0
Armagh,11,1920,0
Armagh,12,1920,0
Armagh,1,1921,0
Armagh,2,1921,0
Armagh,3,1921,0
Armagh,4,1921,0
Armagh,5,1921,0
Armagh,6,1921,3
Armagh,7,1921,0
Armagh,8,1921,1
Armagh,9,1921,0
Armagh,10,1921,0
Armagh,11,1921,1
Armagh,12,1921,0
Carlow,1,1919,0
Carlow,2,1919,0
Carlow,3,1919,0
Carlow,4,1919,0
Carlow,5,1919,0
Carlow,6,1919,0
Carlow,7,1919,0
Carlow,8,1919,0
Carlow,9,1919,0
Carlow,10,1919,0
Carlow,11,1919,0
Carlow,12,1919,0
Carlow,1,1920,0
Carlow,2,1920,0
Carlow,3,1920,0
Carlow,4,1920,0
Carlow,5,1920,0
Carlow,6,1920,0
Carlow,7,1920,0
Carlow,8,1920,0
Carlow,9,1920,0
Carlow,10,1920,0
Carlow,11,1920,0
Carlow,12,1920,0
Carlow,1,1921,0
Carlow,2,1921,0
Carlow,3,1921,0
Carlow,4,1921,0
Carlow,5,1921,0
Carlow,6,1921,0
Carlow,7,1921,0
Carlow,8,1921,0
Carlow,9,1921,0
Carlow,10,1921,0
Carlow,11,1921,0
Carlow,12,1921,0
Cavan,1,1919,0
Cavan,2,1919,0
Cavan,3,1919,0
Cavan,4,1919,0
Cavan,5,1919,0
Cavan,6,1919,0
Cavan,7,1919,0
Cavan,8,1919,0
Cavan,9,1919,0
Cavan,10,1919,0
Cavan,11,1919,0
Cavan,12,1919,0
Cavan,1,1920,0
Cavan,2,1920,0
Cavan,3,1920,0
Cavan,4,1920,0
Cavan,5,1920,0
Cavan,6,1920,0
Cavan,7,1920,0
Cavan,8,1920,1
Cavan,9,1920,0
Cavan,10,1920,0
Cavan,11,1920,0
Cavan,12,1920,0
Cavan,1,1921,0
Cavan,2,1921,1
Cavan,3,1921,0
Cavan,4,1921,0
Cavan,5,1921,0
Cavan,6,1921,0
Cavan,7,1921,0
Cavan,8,1921,1
Cavan,9,1921,0
Cavan,10,1921,0
Cavan,11,1921,0
Cavan,12,1921,0
Clare,1,1919,0
Clare,2,1919,0
Clare,3,1919,0
Clare,4,1919,0
Clare,5,1919,0
Clare,6,1919,0
Clare,7,1919,0
Clare,8,1919,0
Clare,9,1919,0
Clare,10,1919,0
Clare,11,1919,0
Clare,12,1919,0
Clare,1,1920,1
Clare,2,1920,1
Clare,3,1920,0
Clare,4,1920,3
